ReplayID,EpicID,PlayerName,TotalBuilds,WoodBuilds,StoneBuilds,MetalBuilds,Walls,Floors,Stairs,Roofs,BuildsEdited,BuildsDestroyed,Eliminations,DamageDealt,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,TotalMaterialsCollected,WoodCollected,StoneCollected,MetalCollected,HarvestActions,ContainerPickups
f4b27b946ead4b04903c464dac16e4db,b6ef4ea24bd74e008e5e4c8f6f5e94f8,"Fredoxie",0,0,0,0,0,0,0,0,0,0,6,1108,990,27,23,7,7,9,0,0,0,0,23,0
f4b27b946ead4b04903c464dac16e4db,f429f28c9696425c8337d739a6c2a3e4,"QAD Kami",0,0,0,0,0,0,0,0,0,0,0,281,617,6,18,6,6,6,3,0,1,2,18,3
f4b27b946ead4b04903c464dac16e4db,2dfe73dc4b2a404d9d1d087ea53d3325,"Boltz",0,0,0,0,0,0,0,0,0,0,3,1087,1063,33,13,3,5,5,2,2,0,0,13,2
f4b27b946ead4b04903c464dac16e4db,07a8ce27c9b24e12b5da8bbcbf077b84,"Cadu",0,0,0,0,0,0,0,0,0,0,1,382,807,9,3,1,1,1,2,0,2,0,3,2
f4b27b946ead4b04903c464dac16e4db,9bd5773f67584e95be48a04c5c5ffa25,"AlUla Hero",0,0,0,0,0,0,0,0,0,0,1,1212,1023,66,5,2,2,1,1,0,1,0,5,1
f4b27b946ead4b04903c464dac16e4db,15f633c737004583a66ea3a008d68548,"Chap",0,0,0,0,0,0,0,0,0,0,0,225,575,8,3,0,0,3,2,1,0,1,3,2
f4b27b946ead4b04903c464dac16e4db,ed79bed74b3d4ea9871b70a8bafa413d,"PWR Alex",0,0,0,0,0,0,0,0,0,0,0,982,538,62,6,3,3,0,0,0,0,0,6,0
f4b27b946ead4b04903c464dac16e4db,b1bd1e02ce1a417b8a14a1a423cdce51,"Japko",0,0,0,0,0,0,0,0,0,0,8,1747,795,59,14,5,5,4,1,0,1,0,14,1
f4b27b946ead4b04903c464dac16e4db,4b20d502b2204c1ab8ca7e160bebc61f,"FaZe EpikWhale",0,0,0,0,0,0,0,0,0,0,5,893,493,23,10,2,4,4,2,0,1,1,10,2
f4b27b946ead4b04903c464dac16e4db,8724f93aa73447c385bda0d0abd888ff,"PB Aminished",0,0,0,0,0,0,0,0,0,0,0,72,547,2,4,1,2,1,0,0,0,0,4,0
f4b27b946ead4b04903c464dac16e4db,0a9141fd76e14e5888fd0684b486fd71,"XSET Higgs",0,0,0,0,0,0,0,0,0,0,2,1826,1240,41,16,6,6,4,2,1,1,0,16,2
f4b27b946ead4b04903c464dac16e4db,e87e2af5f5694807b1599725e246ba69,"ZETA Yuma",0,0,0,0,0,0,0,0,0,0,0,794,880,23,1,1,0,0,1,1,0,0,1,1
f4b27b946ead4b04903c464dac16e4db,0c6cb8d0a4eb46edb3f88bfc094eb821,"ARMR Cazi",0,0,0,0,0,0,0,0,0,0,2,510,991,15,9,4,4,1,1,1,0,0,9,1
f4b27b946ead4b04903c464dac16e4db,e07659fcda3c4e79be24bacf09544e30,"Rafha Saad",0,0,0,0,0,0,0,0,0,0,1,1103,930,34,30,11,14,5,2,0,1,1,30,2
f4b27b946ead4b04903c464dac16e4db,f14c63450e6f48c69abb98cba829ac59,"JFT Tinka!",0,0,0,0,0,0,0,0,0,0,2,381,871,11,6,2,4,0,6,5,0,1,6,6
f4b27b946ead4b04903c464dac16e4db,5897559b56f54069b7647c6fd9902677,"Rezon",0,0,0,0,0,0,0,0,0,0,2,1196,1355,33,5,2,1,2,0,0,0,0,5,0
f4b27b946ead4b04903c464dac16e4db,c44b96120a4f4e29a3b1433041f65d97,"M8 Swizzy",0,0,0,0,0,0,0,0,0,0,7,1761,1446,53,24,4,15,5,0,0,0,0,24,0
f4b27b946ead4b04903c464dac16e4db,e359c301dd1d4708872bb847e44165e5,"Scarpa",0,0,0,0,0,0,0,0,0,0,0,100,486,6,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,6616ffaf95404a43b184aa8b185be9e5,"Curly",0,0,0,0,0,0,0,0,0,0,0,361,566,16,11,2,3,6,2,0,2,0,11,2
f4b27b946ead4b04903c464dac16e4db,b93b6988605a47aa814dab0c14804bb8,"DIG Acorn",0,0,0,0,0,0,0,0,0,0,0,0,405,0,23,7,15,1,5,4,1,0,23,5
f4b27b946ead4b04903c464dac16e4db,f80029ea9bad47dbae207ec9fbfbcab5,"Falcon Tayson",0,0,0,0,0,0,0,0,0,0,0,132,675,4,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,e57f4ab764ae49fb828d1a220ea0cc35,"Havok IDropfv!",0,0,0,0,0,0,0,0,0,0,7,1550,2010,47,16,8,4,4,2,1,0,1,16,2
f4b27b946ead4b04903c464dac16e4db,fa9b9831dce4497b9d9d506f067a9962,"K1nG",0,0,0,0,0,0,0,0,0,0,1,723,758,27,15,1,9,5,1,1,0,0,15,1
f4b27b946ead4b04903c464dac16e4db,6250a496fdf647e4aaaffc919ab8106c,"CR Razl",0,0,0,0,0,0,0,0,0,0,0,424,298,18,2,0,2,0,0,0,0,0,2,0
f4b27b946ead4b04903c464dac16e4db,46f9b617fe894c6a80e54ca2fc494be2,"AlUla Mansour1x",0,0,0,0,0,0,0,0,0,0,0,40,523,2,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,d59a7f5c8b784c61866e224381ca4eef,"XSET Ritual",0,0,0,0,0,0,0,0,0,0,1,695,380,15,14,1,13,0,1,1,0,0,14,1
f4b27b946ead4b04903c464dac16e4db,24a7f8dec21b4f889e0803b95367cc0d,"Ark",0,0,0,0,0,0,0,0,0,0,3,729,668,21,6,4,2,0,0,0,0,0,6,0
f4b27b946ead4b04903c464dac16e4db,c94c915431dd471c8aeaa4345c9dbda4,"M8 P1ngfnz",0,0,0,0,0,0,0,0,0,0,0,203,606,8,1,0,1,0,0,0,0,0,1,0
f4b27b946ead4b04903c464dac16e4db,ea4f6d5c13ef4e288914e2688a28886d,"Elite Eomzo",0,0,0,0,0,0,0,0,0,0,0,471,1003,16,23,9,5,9,2,1,1,0,23,2
f4b27b946ead4b04903c464dac16e4db,cc79901477e948c79b94e68bd9dcebad,"XSET Muz3x",0,0,0,0,0,0,0,0,0,0,6,1347,948,40,9,5,2,2,2,1,0,1,9,2
f4b27b946ead4b04903c464dac16e4db,a12cf83f246a46a6a4438665dc516dd1,"Phzin",0,0,0,0,0,0,0,0,0,0,7,966,992,29,6,3,2,1,0,0,0,0,6,0
f4b27b946ead4b04903c464dac16e4db,8b4ce2b91e0e438591e022380e2aceb6,"Braydz",0,0,0,0,0,0,0,0,0,0,0,873,1279,26,3,1,1,1,1,1,0,0,3,1
f4b27b946ead4b04903c464dac16e4db,aca89821e3b844e9a0fa0339a65cdb49,"DFM Buyuriru",0,0,0,0,0,0,0,0,0,0,0,147,617,8,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,1025c0090ab64e82b2be0aee66c500c9,"VicterV",0,0,0,0,0,0,0,0,0,0,3,998,594,32,9,1,6,2,1,0,1,0,9,1
f4b27b946ead4b04903c464dac16e4db,0e9770904c034b64bbc10e60d8b1f39e,"MRN Bacca",0,0,0,0,0,0,0,0,0,0,9,1405,817,40,16,6,7,3,2,2,0,0,16,2
f4b27b946ead4b04903c464dac16e4db,f3a9b050e07c43ab9db83c826fbfb01d,"RVL Aspect!",0,0,0,0,0,0,0,0,0,0,0,155,469,5,4,1,3,0,2,2,0,0,4,2
f4b27b946ead4b04903c464dac16e4db,a56ef11cca804c1e9d2462c81ee0c081,"REW",0,0,0,0,0,0,0,0,0,0,0,1609,571,37,46,19,22,5,6,2,2,2,46,6
f4b27b946ead4b04903c464dac16e4db,a5a611ec549c4fae84a1286ca5ef96bc,"HavoK pixx",0,0,0,0,0,0,0,0,0,0,2,624,539,25,15,5,6,4,0,0,0,0,15,0
f4b27b946ead4b04903c464dac16e4db,ea10df65a7054d44a6e7813ac1b071b6,"ZETA Koyota",0,0,0,0,0,0,0,0,0,0,0,149,310,13,0,0,0,0,0,0,0,0,0,0
f4b27b946ead4b04903c464dac16e4db,e3d9eec7635a48bda3c2840f5a9d2b21,"Paperfn",0,0,0,0,0,0,0,0,0,0,0,963,1427,17,19,5,6,8,1,1,0,0,19,1
