ReplayID,EpicID,PlayerName,TotalBuildsPlaced,WoodBuildsPlaced,StoneBuildsPlaced,MetalBuildsPlaced,WallsPlaced,FloorsPlaced,StairsPlaced,RoofsPlaced,BuildsEdited,BuildsDestroyed,Eliminations,DamageDealt,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,HarvestActions
33ac1cf5d549465da756c3bbe330c6bb,c55df86e222a49099d51c89c9c8c5f54,"Axeforce.",0,0,0,0,0,0,0,0,0,0,2,400,576,18,38,21,15,2,38
33ac1cf5d549465da756c3bbe330c6bb,cac98cff201c4719972c450901d178fa,"Fury柴",249,44,205,0,90,31,101,27,25,1,0,232,395,8,20,9,10,1,20
33ac1cf5d549465da756c3bbe330c6bb,b3df1be9574b4cc8aa736447ab61644c,"BIG volko 64",853,272,431,150,405,202,136,110,53,2,0,409,693,11,25,18,7,0,25
33ac1cf5d549465da756c3bbe330c6bb,fc8150799c0243c9943ec12fed001ad4,"yali haplatypusǃ",366,129,118,119,153,74,110,29,10,0,1,383,251,5,11,5,6,0,11
33ac1cf5d549465da756c3bbe330c6bb,35b20277def3479aa1111d865916792a,"ENCE GODOYY 9",638,215,252,171,290,122,165,61,28,2,3,792,1234,19,18,7,9,2,18
33ac1cf5d549465da756c3bbe330c6bb,4ff0b25ec7c24ec1a85fd5a2c490a7cc,"Flawless Trusio",0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,b85100aed4d44fe0b4905b4c1878474e,"2R Splasheax",645,284,174,187,321,117,83,124,16,1,3,566,817,17,12,5,7,0,12
33ac1cf5d549465da756c3bbe330c6bb,913bbd393717454eb4dd1cecf3fc6e02,"art1st7x-",151,91,58,2,76,28,43,4,0,2,0,48,267,3,9,8,1,0,9
33ac1cf5d549465da756c3bbe330c6bb,d6fb64a281164912bb1c470b24470eaf,"BSK Darkos",14,4,5,5,8,0,5,1,0,0,0,427,454,39,23,13,10,0,23
33ac1cf5d549465da756c3bbe330c6bb,11c2360ac16243db85dd822a8cb6ad3c,"AVE Cringе",433,134,261,38,268,52,42,71,18,0,10,1750,574,36,38,22,15,1,38
33ac1cf5d549465da756c3bbe330c6bb,b978e26fffb1428099018ee51bbe2f1a,"Nbl vaiiint",207,33,122,52,96,34,54,23,1,1,0,0,205,0,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,5b9f90e50d3644319676cfcc51e458bf,"xset mrveno",864,382,319,163,469,213,101,81,17,1,4,663,800,22,19,12,5,2,19
33ac1cf5d549465da756c3bbe330c6bb,dc2c96d226594cd5870f1af055754df0,"Flawless Xteryy",473,174,198,101,204,125,51,93,17,1,2,764,733,21,26,18,5,3,26
33ac1cf5d549465da756c3bbe330c6bb,02ecce50bb0d463fbdd80b0e83db6b34,"DETECT DRUXYZ",260,120,94,46,114,59,54,33,0,2,5,968,1159,21,28,12,13,3,28
33ac1cf5d549465da756c3bbe330c6bb,c5855ed8980943b19c149b4047a5c060,"Бобень F1N4IK",0,0,0,0,0,0,0,0,0,0,0,154,180,4,4,2,1,1,4
33ac1cf5d549465da756c3bbe330c6bb,1d728249ddbd44ea903d2a82f86f6afc,"gentelmеn polish",164,23,98,43,61,37,30,36,7,0,4,978,597,28,21,12,8,1,21
33ac1cf5d549465da756c3bbe330c6bb,efc239f925fc410f93689ab20d24b1a1,"ONE ogryzek 23",606,126,252,228,317,107,89,93,15,4,0,947,359,29,12,6,6,0,12
33ac1cf5d549465da756c3bbe330c6bb,3736de3c0eb043649fac15ec1025ff08,"XSET Clix",261,118,96,47,145,46,58,12,5,1,1,489,291,20,23,17,6,0,23
33ac1cf5d549465da756c3bbe330c6bb,acb537b9b2c742cd9384d8a8c66df20f,"Mappishter",414,242,156,16,185,97,54,78,10,0,0,341,700,7,10,8,2,0,10
33ac1cf5d549465da756c3bbe330c6bb,be672113d3b1453794b9b02c52bbf2fd,"cenouk.",48,48,0,0,27,6,12,3,1,0,0,0,223,0,3,1,2,0,3
33ac1cf5d549465da756c3bbe330c6bb,6c5bad057c4249c2bc16643462a77daf,"Sraptfvǃ",201,74,120,7,124,16,37,24,14,1,2,419,620,6,28,17,9,2,28
33ac1cf5d549465da756c3bbe330c6bb,d3820adcb5e84f09bc9b9d785daef9ab,"bs a ǃ",236,71,98,67,155,21,28,32,1,0,1,0,236,0,28,18,9,1,28
33ac1cf5d549465da756c3bbe330c6bb,c30c1978ea44412b9bcc2e8fcf32b728,"ws propzi8",99,16,78,5,60,12,9,18,0,0,0,108,301,1,2,0,2,0,2
33ac1cf5d549465da756c3bbe330c6bb,b80ca8ce98c94dad9e831e27cf6f87b3,"mancity tripp",464,266,169,29,150,91,70,153,1,3,1,685,664,27,10,6,3,1,10
33ac1cf5d549465da756c3bbe330c6bb,0865dd0ccabd4156aa6e7757f9b5b753,"nebsмasteя",129,102,27,0,63,19,31,16,0,0,0,288,363,9,6,2,3,1,6
33ac1cf5d549465da756c3bbe330c6bb,bad7a06712a240218708b37350c011c8,"chmuraǃ",289,179,92,18,107,101,54,27,0,0,2,33,716,1,28,19,7,2,28
33ac1cf5d549465da756c3bbe330c6bb,d406afd987c648469c6257a3dd71bf4b,"Rz Minorizz",7,7,0,0,4,0,3,0,0,0,0,358,578,18,21,16,4,1,21
33ac1cf5d549465da756c3bbe330c6bb,43e3185a02f94b0680d9b3d4ec38a4f9,"ozrixCOW",554,315,152,87,280,71,101,102,28,4,0,21,247,1,1,0,1,0,1
33ac1cf5d549465da756c3bbe330c6bb,fe1871f859884f53babf64cb05400800,"TRKF iFr0zi",98,27,57,14,41,13,38,6,2,1,3,483,390,11,9,5,3,1,9
33ac1cf5d549465da756c3bbe330c6bb,31c80486bc3a42bdb1c0a034ca4dfebf,"ENCE 666tozeoǃ",576,172,262,142,297,101,62,116,38,3,6,1026,1145,32,7,3,4,0,7
33ac1cf5d549465da756c3bbe330c6bb,dcdf08d1a49844849fa545b355908d26,"bevvys åäö",327,118,141,68,164,64,27,72,14,2,0,527,1019,86,34,21,10,3,34
33ac1cf5d549465da756c3bbe330c6bb,cd59ac355e104c63848716cf8fa1a837,"fadеd 222",348,128,142,78,222,53,22,51,18,1,0,865,748,21,31,15,14,2,31
33ac1cf5d549465da756c3bbe330c6bb,7665ef61b12c4191b376f752265f5b22,"yaneaheadstep",350,105,186,59,181,54,52,63,4,1,2,442,376,32,32,22,10,0,32
33ac1cf5d549465da756c3bbe330c6bb,957e83e673374a66bc60ce08a795b469,"liamskiǃ",267,102,109,56,188,14,42,23,4,3,0,354,499,9,4,3,1,0,4
33ac1cf5d549465da756c3bbe330c6bb,5a854df36bfb4c628c8b8f3637b83621,"Falcon japko",709,215,287,207,319,189,160,41,10,0,2,649,538,20,18,12,6,0,18
33ac1cf5d549465da756c3bbe330c6bb,f4a9fccaa74746b6bf15112bd072c186,"SERENFV",277,92,143,42,174,28,37,38,2,0,0,1207,551,36,27,18,9,0,27
33ac1cf5d549465da756c3bbe330c6bb,e432430550e54f449cc7e874088f291f,"One Sadee",695,317,320,58,343,117,123,112,16,2,0,683,1018,18,15,5,10,0,15
33ac1cf5d549465da756c3bbe330c6bb,137b42eb15ad4c0eaed668678ef884a6,"tjino 1",104,34,50,20,52,9,33,10,3,0,2,551,385,16,7,3,4,0,7
33ac1cf5d549465da756c3bbe330c6bb,ef8754fc003d47cf985ae84eaed42be6,"sіrеnfv",37,37,0,0,16,9,8,4,0,0,0,407,1001,13,19,9,8,2,19
33ac1cf5d549465da756c3bbe330c6bb,d141060dd88545c4a3b2408f668508b3,"Solary Momsy.",553,198,214,141,250,163,78,62,15,25,5,1299,830,30,21,15,6,0,21
33ac1cf5d549465da756c3bbe330c6bb,a00e34fded7c4a23bd4c4d515f183a9e,"FLWLSS Robcio",464,231,169,64,225,86,78,75,5,0,5,646,477,9,22,14,8,0,22
33ac1cf5d549465da756c3bbe330c6bb,7ee4c782feb64e2fbe8b7d7063f71691,"ihminen ʕᵒᴥᵒʔ",447,221,182,44,204,111,74,58,6,6,0,0,543,0,5,2,1,2,5
