ReplayID,EpicID,PlayerName,TotalBuilds,WoodBuilds,StoneBuilds,MetalBuilds,Walls,Floors,Stairs,Roofs,BuildsEdited,BuildsDestroyed,Eliminations,DamageDealt,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,TotalMaterialsCollected,WoodCollected,StoneCollected,MetalCollected,HarvestActions,ContainerPickups
UnsavedReplay-2025.09.24-16.29.18,252cddd6dcdb45ff987d1d5ed533a1a5,"SquadMaster22",2,2,0,0,2,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,11e6b2ec94374361ae8ba943faee03b5,"GardenDolphin",3,3,0,0,3,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,1562e76e6b53454c9e987dd46f450064,"Drimacus7",4,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,f60e75e8e33248569fe02616a73d3e5b,"PureSneak92",14,8,0,6,14,0,0,0,0,0,1,0,107,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,b3fa4c3951ab4cd7b2fc163c598078fb,"FrogSpawn42",6,3,0,3,6,0,0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,2f359e7ba0364305b92a1e5a3817ce24,"Woody7102333",27,1,16,10,27,0,0,0,0,0,3,153,483,2,2,1,0,1,0,0,0,0,2,0
UnsavedReplay-2025.09.24-16.29.18,d804f4b6d7624389821c9149986d473c,"BetaChampion",39,29,9,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,22cb534036a748c0b4bc0f3ec4da0e9b,"HalfEatenPizza82",0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,8e7e55b61cf74f78a091b9d4756bbdac,"pepinovski92",8,6,0,2,8,0,0,0,0,0,2,0,202,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,1c88360cc2f24bb4ad6100f5fd8d11ce,"MeanSardine",50,36,4,10,50,0,0,0,0,0,4,0,153,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,910dd0ab104f45209ad7ffcdce67573d,"WrathofKnight",12,12,0,0,12,0,0,0,0,0,2,0,312,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,31b349eafbf642b38f93d9119d924fe8,"NeoDynamic",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,e14dce94134643a18312ac0ede31d0dc,"AllTheCandy",12,4,0,8,12,0,0,0,0,0,1,0,159,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,fdf1771fc54442e79d1c6cd683600368,"smashdust_",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
UnsavedReplay-2025.09.24-16.29.18,2535428150752453,"2535428150752453",0,0,0,0,0,0,0,0,0,0,0,575,391,12,8,4,2,2,0,0,0,0,8,0
UnsavedReplay-2025.09.24-16.29.18,unknown,"Unknown",175,122,53,0,175,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
